record,date,qtime,start_date,status,age,gender,zipcode,fylke2024,kommune2024,landsdel2024,age_group,age_group2,_v1,_v2,_v3,_v4,_v5,_v6,_v7,_v8,_v9,_v10,Q1r10oe,_v11,_v12,_v13,_v14,_v15,_v16,_v17,_v18,_v19,_v20,_v21,_v22,_v23,_v24,Q2r13oe,Q6,Q7,Q8,Q9,Q10,Q12,Q13,Q13b,Q14r1,_v25,_v26,_v27,_v28,_v29,_v30,_v31,_v32,_v33,_v34,_v35,_v36,_v37,_v38,_v39,_v40,_v41,_v42,_v43,_v44,_v45,_v46,_v47,_v48,_v49,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q17_8,Q17_9,Q17_10,Q17_11,Q17_12,Q17_13,Q17_14,Q17_15,Q17_16,Q17_17,Q17_18,Q17_19,Q17_20,Q17_21,Q17_22,Q17_23,Q17_24,_v50,_v51,_v52,_v53,_v54,_v55,_v56,_v57,_v58,_v59,_v60,_v61,_v62,_v63,_v64,_v65,_v66,_v67,_v68,_v69,_v70,_v71,_v72,_v73,_v74,_v75,_v76,_v77,_v78,_v79,_v80,_v81,_v82,_v83,_v84,_v85,_v86,_v87,_v88,_v89,_v90,_v91,_v92,_v93,_v94,_v95,_v96,_v97,Q25r1,Q25r2,Q25r3,Q25r4,Q25r5,Q25r6,Q26,Q27,Q27r11oe,Q27b,Q27br8oe,Q27c,Q30_desktop,Q30_mobile,Q30,Q31,Q32,Q33r1,Q33r2,Q33r3,Q33r4,Q33r5,Q33r6,Q33r7,Q33r8,Q33r9,Q33r10,Q33r11,Q33r12,Q34_1,Q34_2,Q35_1,Q35_2,Q36,Q37,Q37r99oe,Q38,Q39,Q40,Q40r21oe,Q41,Q42r1,_v98,UniqueID,non_respondent,educationLevel,personal_income
1106,04/24/2025 12:44,289.968,04/24/2025 12:39,Qualified,42,Mann,2846,Innlandet,Vestre Toten,Østlandet,40-49,40-49,Not selected,Not selected,Arbeidsplasser og økonomisk omstilling,Helse & eldreomsorg,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,,Not selected,Not selected,"Bygge ut nye, småskala vannkraftanlegg i småelver i Norge",Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Eksportere mindre kraft til utlandet,Not selected,Atomkraftverk,Not selected,Not selected,,Nei,5,Nei,"Færre, store anlegg med mange solcellepaneler for hvert anlegg",5,Ikke i det hele tatt,Nei,Nei,25000,Not selected,Q17_1,Not selected,Not selected,Not selected,Q17_5,Not selected,Q17_7,Q17_8,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_16,Not selected,Not selected,Not selected,Q17_20,Q17_21,Not selected,Not selected,Q17_24,Ingen utbygging,,,,Ingen utbygging,,Ingen utbygging,Utbygging,,,,,,,,Utbygging,,,,Ingen utbygging,Ingen utbygging,,,Ingen utbygging,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_8,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_16,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_1,Not selected,Not selected,Not selected,Q17_5,Not selected,Q17_7,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_20,Q17_21,Not selected,Not selected,Q17_24,5,3,5,2,2,6,4,,,,,Min holdning ville vært den samme uansett hvor anlegget bygges,,100% vind 0% sol,100% vind 0% sol,5,"Ja, men på grunn av samfunnsutvikling må en akseptere noe reduksjon",6,3,2,5,2,5,2,2,5,5,2,5,10 000 kr,,8000 kr,,Nei,Ja,,Videregående skole/gymnas,Nei,800 001 – 1 000 000 kr,,Ganske sikker,,"Nei, ingen ekstra kommentarer",,,,
938,04/22/2025 15:35,1386.333,04/22/2025 15:11,Qualified,68,Mann,2100,Innlandet,Sør-Odal,Østlandet,50-99,60+,Vern av natur & biologisk mangfold,Not selected,Not selected,Helse & eldreomsorg,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,,Not selected,Not selected,"Bygge ut nye, småskala vannkraftanlegg i småelver i Norge",Not selected,Not selected,Produsere mer fra solenergi i Norge,Redusere kraftforbruk gjennom energisparing (Enøk),Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,,Nei,6,Nei,"Færre, store anlegg med mange solcellepaneler for hvert anlegg",5,Ikke i det hele tatt,Nei,Nei,,Vet ikke,Not selected,Q17_2,Q17_3,Not selected,Q17_5,Q17_6,Not selected,Not selected,Not selected,Not selected,Q17_11,Q17_12,Not selected,Not selected,Not selected,Q17_16,Not selected,Not selected,Q17_19,Not selected,Not selected,Not selected,Not selected,Not selected,,Utbygging,Utbygging,,Utbygging,Utbygging,,,,,Utbygging,Utbygging,,,,Utbygging,,,Utbygging,,,,,,Not selected,Q17_2,Q17_3,Not selected,Q17_5,Q17_6,Not selected,Not selected,Not selected,Not selected,Q17_11,Q17_12,Not selected,Not selected,Not selected,Q17_16,Not selected,Not selected,Q17_19,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,5,3,4,3,3,6,5,,,Vi må øke strømproduksjonen i Norge for egen sikkerhet,,Min holdning ville vært den samme uansett hvor anlegget bygges,0% vind 100% sol,,0% vind 100% sol,7 Svært viktig,"Ja, men på grunn av samfunnsutvikling må en akseptere noe reduksjon",6,4 Nøytral,3,4 Nøytral,3,5,4 Nøytral,3,3,5,4 Nøytral,5,10 000 kr,,5000 kr,,Nei,Ja,,Videregående skole/gymnas,"Ja, vi bor i nærheten av arealer der det er eller kan bli aktuelt å bygge kraftverk",600 001 – 800 000 kr,,Ganske sikker,,"Nei, ingen ekstra kommentarer",,,,
1241,04/25/2025 12:05,916.648,04/25/2025 11:49,Qualified,63,Kvinne,2211,Innlandet,Kongsvinger,Østlandet,50-99,60+,Not selected,Not selected,Not selected,Helse & eldreomsorg,Not selected,Not selected,Politi & forsvar,Not selected,Not selected,Not selected,,Not selected,Not selected,Not selected,Not selected,Utvide/oppgradere større vannkraftanlegg i Norge,Produsere mer fra solenergi i Norge,Not selected,Not selected,Not selected,Eksportere mindre kraft til utlandet,Not selected,Not selected,Not selected,Not selected,,Ja,6,Ja,"Færre, store anlegg med mange solcellepaneler for hvert anlegg",3,Ikke i det hele tatt,Nei,Nei,25000,Not selected,Q17_1,Not selected,Not selected,Q17_4,Not selected,Not selected,Q17_7,Q17_8,Not selected,Not selected,Q17_11,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_19,Not selected,Q17_21,Not selected,Not selected,Q17_24,Ingen utbygging,,,Ingen utbygging,,,Ingen utbygging,Utbygging,,,Ingen utbygging,,,,,,,,Ingen utbygging,,Ingen utbygging,,,Ingen utbygging,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_8,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_1,Not selected,Not selected,Q17_4,Not selected,Not selected,Q17_7,Not selected,Not selected,Not selected,Q17_11,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_19,Not selected,Q17_21,Not selected,Not selected,Q17_24,5,5,6,4,4,2,4,,,,,Min holdning ville vært den samme uansett hvor anlegget bygges,,0% vind 100% sol,0% vind 100% sol,5,"Ja, men på grunn av samfunnsutvikling må en akseptere noe reduksjon",6,5,4 Nøytral,5,5,5,4 Nøytral,4 Nøytral,4 Nøytral,4 Nøytral,4 Nøytral,3,Vet ikke,,Vet ikke,,Nei,Nei,,Videregående skole/gymnas,Nei,200 001 – 400 000 kr,,Veldig sikker,,"Nei, ingen ekstra kommentarer",,,,
1456,04/28/2025 02:12,1179.481,04/28/2025 01:52,Qualified,44,Mann,2213,Innlandet,Kongsvinger,Østlandet,40-49,40-49,Not selected,Not selected,Arbeidsplasser og økonomisk omstilling,Helse & eldreomsorg,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,,Not selected,Not selected,"Bygge ut nye, småskala vannkraftanlegg i småelver i Norge",Not selected,Utvide/oppgradere større vannkraftanlegg i Norge,Not selected,Not selected,Not selected,Not selected,Eksportere mindre kraft til utlandet,Not selected,Not selected,Not selected,Not selected,,Nei,4 Nøytral,Nei,"Færre, store anlegg med mange solcellepaneler for hvert anlegg",6,Ikke i det hele tatt,Nei,Nei,,Vet ikke,Not selected,Not selected,Not selected,Q17_4,Q17_5,Q17_6,Not selected,Not selected,Not selected,Q17_10,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_18,Not selected,Q17_20,Q17_21,Q17_22,Not selected,Not selected,,,,Ingen utbygging,Ingen utbygging,Ingen utbygging,,,,Ingen utbygging,,,,,,,,Ingen utbygging,,Ingen utbygging,Ingen utbygging,Ingen utbygging,,,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_4,Q17_5,Q17_6,Not selected,Not selected,Not selected,Q17_10,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_18,Not selected,Q17_20,Q17_21,Q17_22,Not selected,Not selected,4,4,6,2,3,5,5,"Utbygging hadde for store effekter på natur og miljø, fordelene tatt i betraktning",,,,Min holdning ville vært den samme uansett hvor anlegget bygges,,60% vind 40% sol,60% vind 40% sol,5,"Ja, men på grunn av samfunnsutvikling må en akseptere noe reduksjon",4 Nøytral,5,4 Nøytral,5,4 Nøytral,5,4 Nøytral,4 Nøytral,5,5,5,5,Jeg er imot utbygging uansett,,Jeg er imot utbygging uansett,,Nei,Nei,,Fagbrev,Nei,Ønsker ikke å oppgi,,Ganske sikker,,"Nei, ingen ekstra kommentarer",,,,
2054,05/03/2025 15:18,1012.809,05/03/2025 15:00,Qualified,58,Kvinne,2224,Innlandet,Kongsvinger,Østlandet,50-99,50-59,Not selected,Not selected,Not selected,Not selected,Utdanning & forsking,Samferdsel & annen infrastruktur,Not selected,Not selected,Not selected,Not selected,,Not selected,Not selected,Not selected,Not selected,Utvide/oppgradere større vannkraftanlegg i Norge,Not selected,Not selected,Not selected,Not selected,Not selected,Bygge vindkraftverk til havs,Atomkraftverk,Not selected,Not selected,,Nei,5,Nei,"Flere, mindre anlegg med færre solcellepaneler per anlegg",5,Ikke i det hele tatt,Nei,Nei,18000,Not selected,Not selected,Q17_2,Not selected,Not selected,Q17_5,Not selected,Q17_7,Q17_8,Q17_9,Q17_10,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_16,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_22,Not selected,Not selected,,Utbygging,,,Utbygging,,Ingen utbygging,Utbygging,Utbygging,Ingen utbygging,,,,,,Ingen utbygging,,,,,,Ingen utbygging,,,Not selected,Q17_2,Not selected,Not selected,Q17_5,Not selected,Not selected,Q17_8,Q17_9,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_7,Not selected,Not selected,Q17_10,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_16,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_22,Not selected,Not selected,5,5,7 Svært viktig,4,4,1 Ikke viktig i det hele tatt,5,,,,,Jeg ville vært mer positiv hvis anlegget ble bygget i en helt annen del av landet,0% vind 100% sol,,0% vind 100% sol,7 Svært viktig,"Ja, vi må ikke redusere disse arealene",7 Generell stor negativ innvirkning,5,3,6,5,6,5,3,4 Nøytral,5,2,3,Vet ikke,,Vet ikke,,Nei,Nei,,3-4-årig universitetsutdanning (bachelor/cand.mag.),Nei,600 001 – 800 000 kr,,Ganske sikker,,"Nei, ingen ekstra kommentarer",,,,
541,04/16/2025 16:25,1028.09,04/16/2025 15:09,Qualified,51,Kvinne,2280,Innlandet,Åsnes,Østlandet,50-99,50-59,Not selected,Not selected,Arbeidsplasser og økonomisk omstilling,Not selected,Not selected,Not selected,Politi & forsvar,Not selected,Not selected,Not selected,,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Varmekraft,Not selected,Not selected,Not selected,Atomkraftverk,Not selected,Not selected,,Nei,6,Nei,"Færre, store anlegg med mange solcellepaneler for hvert anlegg",5,Ikke i det hele tatt,Vet ikke,Nei,,Vet ikke,Not selected,Q17_2,Not selected,Q17_4,Not selected,Q17_6,Not selected,Not selected,Not selected,Not selected,Q17_11,Q17_12,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_19,Q17_20,Not selected,Not selected,Not selected,Q17_24,,Ingen utbygging,,Utbygging,,Ingen utbygging,,,,,Ingen utbygging,Ingen utbygging,,,,,,,Utbygging,Ingen utbygging,,,,Ingen utbygging,Not selected,Not selected,Not selected,Q17_4,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_19,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_2,Not selected,Not selected,Not selected,Q17_6,Not selected,Not selected,Not selected,Not selected,Q17_11,Q17_12,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_20,Not selected,Not selected,Not selected,Q17_24,4,4,5,4,5,7 Svært viktig,5,,,,,Jeg er usikker,,40% vind 60% sol,40% vind 60% sol,6,"Ja, men på grunn av samfunnsutvikling må en akseptere noe reduksjon",5,4 Nøytral,2,5,4 Nøytral,4 Nøytral,4 Nøytral,4 Nøytral,4 Nøytral,3,4 Nøytral,4 Nøytral,10 000 kr,,7000 kr,,Nei,Nei,,3-4-årig universitetsutdanning (bachelor/cand.mag.),Vet ikke,1 400 001 – 1 600 000 kr,,Ganske usikker,,"Nei, ingen ekstra kommentarer",,,,
1861,05/14/2025 18:51,375.91,05/01/2025 15:45,Qualified,70,Kvinne,2283,Innlandet,Åsnes,Østlandet,50-99,60+,Vern av natur & biologisk mangfold,Not selected,Not selected,Helse & eldreomsorg,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Redusere kraftforbruk gjennom energisparing (Enøk),Not selected,Not selected,Eksportere mindre kraft til utlandet,Bygge vindkraftverk til havs,Not selected,Not selected,Not selected,,Nei,1 Svært negativ,Nei,"Flere, mindre anlegg med færre solcellepaneler per anlegg",7 Svært bekymret,Ikke i det hele tatt,Nei,Nei,,Vet ikke,Q17_1,Q17_2,Not selected,Not selected,Not selected,Q17_6,Q17_7,Q17_8,Not selected,Not selected,Not selected,Q17_12,Q17_13,Not selected,Not selected,Not selected,Not selected,Q17_18,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Ingen utbygging,Ingen utbygging,,,,Ingen utbygging,Ingen utbygging,Ingen utbygging,,,,Ingen utbygging,Ingen utbygging,,,,,Ingen utbygging,,,,,,,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_1,Q17_2,Not selected,Not selected,Not selected,Q17_6,Q17_7,Q17_8,Not selected,Not selected,Not selected,Q17_12,Q17_13,Not selected,Not selected,Not selected,Not selected,Q17_18,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,1 Ikke viktig i det hele tatt,1 Ikke viktig i det hele tatt,7 Svært viktig,7 Svært viktig,7 Svært viktig,1 Ikke viktig i det hele tatt,1 Svært lett,Kraften blir uansett eksportert som gir oss høyere strømpriser,,,,"Jeg støtter ikke solkraftutbygging, uansett lokasjon",100% vind 0% sol,,100% vind 0% sol,7 Svært viktig,"Ja, vi må ikke redusere disse arealene",7 Generell stor negativ innvirkning,7 Generell stor negativ innvirkning,1 Generell liten negativ innvirkning,7 Generell stor negativ innvirkning,7 Generell stor negativ innvirkning,7 Generell stor negativ innvirkning,4 Nøytral,4 Nøytral,4 Nøytral,6,5,5,Jeg er imot utbygging uansett,,Jeg er imot utbygging uansett,,Nei,Nei,,5-årig universitetsutdanning (mastergrad/profesjonsutdanning),Nei,Ønsker ikke å oppgi,,Veldig usikker,,"Nei, ingen ekstra kommentarer",,,,
1656,04/29/2025 15:18,898.35,04/29/2025 15:02,Qualified,66,Mann,2315,Innlandet,Hamar,Østlandet,50-99,60+,Not selected,Klimatiltak (utslippsreduksjoner & tilpasning),Not selected,Helse & eldreomsorg,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,,Not selected,Not selected,Not selected,Not selected,Utvide/oppgradere større vannkraftanlegg i Norge,Not selected,Redusere kraftforbruk gjennom energisparing (Enøk),Not selected,Not selected,Not selected,Not selected,Atomkraftverk,Not selected,Not selected,,Ja,2,Ja,Vet ikke,6,Ikke i det hele tatt,Nei,Nei,2000,Not selected,Not selected,Not selected,Not selected,Q17_4,Not selected,Not selected,Q17_7,Not selected,Not selected,Q17_10,Not selected,Not selected,Not selected,Q17_14,Not selected,Not selected,Not selected,Not selected,Q17_19,Not selected,Q17_21,Q17_22,Not selected,Q17_24,,,,Ingen utbygging,,,Ingen utbygging,,,Ingen utbygging,,,,Ingen utbygging,,,,,Ingen utbygging,,Ingen utbygging,Ingen utbygging,,Ingen utbygging,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_4,Not selected,Not selected,Q17_7,Not selected,Not selected,Q17_10,Not selected,Not selected,Not selected,Q17_14,Not selected,Not selected,Not selected,Not selected,Q17_19,Not selected,Q17_21,Q17_22,Not selected,Q17_24,1 Ikke viktig i det hele tatt,1 Ikke viktig i det hele tatt,7 Svært viktig,1 Ikke viktig i det hele tatt,7 Svært viktig,1 Ikke viktig i det hele tatt,2,"Andre årsaker, vennligst spesifiser:","Det er nok av tak rundt omkring som kan produsere strøm, har et selv og jeg betaler bare litt i nettleie",,,Min holdning ville vært den samme uansett hvor anlegget bygges,,60% vind 40% sol,60% vind 40% sol,7 Svært viktig,"Ja, vi må ikke redusere disse arealene",6,7 Generell stor negativ innvirkning,2,6,6,7 Generell stor negativ innvirkning,4 Nøytral,4 Nøytral,4 Nøytral,4 Nøytral,7 Generell stor negativ innvirkning,7 Generell stor negativ innvirkning,Jeg er imot utbygging uansett,,Jeg er imot utbygging uansett,,Ja,Ja,,Videregående skole/gymnas,Nei,Vet ikke,,Ganske usikker,Bygg atomkraft,Not selected,,,,
1133,04/24/2025 14:47,1268.267,04/24/2025 14:25,Qualified,67,Mann,2316,Innlandet,Hamar,Østlandet,50-99,60+,Not selected,Not selected,Not selected,Helse & eldreomsorg,Not selected,Samferdsel & annen infrastruktur,Not selected,Not selected,Not selected,Not selected,,Not selected,Not selected,Not selected,Not selected,Utvide/oppgradere større vannkraftanlegg i Norge,Produsere mer fra solenergi i Norge,Not selected,Not selected,Not selected,Not selected,Not selected,Atomkraftverk,Not selected,Not selected,,Nei,5,Ja,"Flere, mindre anlegg med færre solcellepaneler per anlegg",3,Ikke i det hele tatt,Nei,Nei,15500,Not selected,Not selected,Not selected,Q17_3,Q17_4,Not selected,Q17_6,Not selected,Q17_8,Not selected,Not selected,Not selected,Q17_12,Not selected,Not selected,Q17_15,Not selected,Q17_17,Not selected,Not selected,Not selected,Q17_21,Not selected,Not selected,Not selected,,,Ingen utbygging,Utbygging,,Ingen utbygging,,Utbygging,,,,Ingen utbygging,,,Utbygging,,Ingen utbygging,,,,Utbygging,,,,Not selected,Not selected,Not selected,Q17_4,Not selected,Not selected,Not selected,Q17_8,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_15,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_21,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_3,Not selected,Not selected,Q17_6,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_12,Not selected,Not selected,Not selected,Not selected,Q17_17,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,5,5,6,5,4,5,5,,,,,Min holdning ville vært den samme uansett hvor anlegget bygges,,20% vind 80% sol,20% vind 80% sol,5,"Ja, men på grunn av samfunnsutvikling må en akseptere noe reduksjon",5,4 Nøytral,3,3,4 Nøytral,5,5,5,4 Nøytral,4 Nøytral,4 Nøytral,3,10 000 kr,,10 000 kr,,Nei,Nei,,Videregående skole/gymnas,Nei,800 001 – 1 000 000 kr,,Ganske usikker,,"Nei, ingen ekstra kommentarer",,,,
1676,04/29/2025 20:56,856.237,04/29/2025 20:42,Qualified,35,Mann,2100,Innlandet,Sør-Odal,Østlandet,30-39,30-39,Not selected,Not selected,Not selected,Helse & eldreomsorg,Not selected,Not selected,Politi & forsvar,Not selected,Not selected,Not selected,,Not selected,Not selected,Not selected,Not selected,Utvide/oppgradere større vannkraftanlegg i Norge,Not selected,Not selected,Not selected,Not selected,Eksportere mindre kraft til utlandet,Not selected,Atomkraftverk,Not selected,Not selected,,Nei,1 Svært negativ,Ja,Vet ikke,7 Svært bekymret,Ikke i det hele tatt,Nei,Nei,,Vet ikke,Not selected,Not selected,Q17_3,Not selected,Q17_5,Not selected,Q17_7,Not selected,Q17_9,Not selected,Q17_11,Not selected,Not selected,Not selected,Not selected,Q17_16,Not selected,Not selected,Not selected,Not selected,Q17_21,Not selected,Q17_23,Not selected,,,Ingen utbygging,,Ingen utbygging,,Ingen utbygging,,Ingen utbygging,,Ingen utbygging,,,,,Ingen utbygging,,,,,Ingen utbygging,,Ingen utbygging,,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_3,Not selected,Q17_5,Not selected,Q17_7,Not selected,Q17_9,Not selected,Q17_11,Not selected,Not selected,Not selected,Not selected,Q17_16,Not selected,Not selected,Not selected,Not selected,Q17_21,Not selected,Q17_23,Not selected,3,4,7 Svært viktig,4,3,6,2,Å forsyne Europe med fornybar energi fra Norge skal ikke gå på bekostning av norsk natur,,,,"Jeg støtter ikke solkraftutbygging, uansett lokasjon",,60% vind 40% sol,60% vind 40% sol,6,"Ja, men på grunn av samfunnsutvikling må en akseptere noe reduksjon",7 Generell stor negativ innvirkning,7 Generell stor negativ innvirkning,2,1 Generell liten negativ innvirkning,1 Generell liten negativ innvirkning,7 Generell stor negativ innvirkning,7 Generell stor negativ innvirkning,5,4 Nøytral,4 Nøytral,1 Generell liten negativ innvirkning,6,Jeg er imot utbygging uansett,,Jeg er imot utbygging uansett,,Nei,Nei,,Fagbrev,"Ja, vi bor i nærheten av arealer der det er eller kan bli aktuelt å bygge kraftverk",400 001 – 600 000 kr,,Veldig sikker,,"Nei, ingen ekstra kommentarer",,,,
