record,date,status,qtime,start_date,age,gender,zipcode,fylke2024,kommune2024,landsdel2024,age_group,age_group2,_v1,_v2,_v3,_v4,_v5,_v6,_v7,_v8,_v9,_v10,Q1r10oe,_v11,_v12,_v13,_v14,_v15,_v16,_v17,_v18,_v19,_v20,_v21,_v22,_v23,_v24,Q2r13oe,Q6,Q7,Q8,Q9,Q10,Q12,Q13,Q13b,Q14r1,_v25,_v26,_v27,_v28,_v29,_v30,_v31,_v32,_v33,_v34,_v35,_v36,_v37,_v38,_v39,_v40,_v41,_v42,_v43,_v44,_v45,_v46,_v47,_v48,_v49,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q17_8,Q17_9,Q17_10,Q17_11,Q17_12,Q17_13,Q17_14,Q17_15,Q17_16,Q17_17,Q17_18,Q17_19,Q17_20,Q17_21,Q17_22,Q17_23,Q17_24,_v50,_v51,_v52,_v53,_v54,_v55,_v56,_v57,_v58,_v59,_v60,_v61,_v62,_v63,_v64,_v65,_v66,_v67,_v68,_v69,_v70,_v71,_v72,_v73,_v74,_v75,_v76,_v77,_v78,_v79,_v80,_v81,_v82,_v83,_v84,_v85,_v86,_v87,_v88,_v89,_v90,_v91,_v92,_v93,_v94,_v95,_v96,_v97,Q25r1,Q25r2,Q25r3,Q25r4,Q25r5,Q25r6,Q26,Q27,Q27r11oe,Q27b,Q27br8oe,Q27c,Q30_desktop,Q30_mobile,Q30,Q31,Q32,Q33r1,Q33r2,Q33r3,Q33r4,Q33r5,Q33r6,Q33r7,Q33r8,Q33r9,Q33r10,Q33r11,Q33r12,Q34_1,Q34_2,Q35_1,Q35_2,Q36,Q37,Q37r99oe,Q38,Q39,Q40,Q40r21oe,Q41,Q42r1,_v98,UniqueID,non_respondent,educationLevel,personal_income
2813,05/15/2025 13:11,Qualified,1186.743,05/15/2025 12:51,58,Kvinne,2477,Innlandet,Stor-Elvdal,Østlandet,50-99,50-59,Not selected,Not selected,Arbeidsplasser og økonomisk omstilling,Not selected,Not selected,Samferdsel & annen infrastruktur,Not selected,Not selected,Not selected,Not selected,,Not selected,Not selected,Not selected,Not selected,Utvide/oppgradere større vannkraftanlegg i Norge,Produsere mer fra solenergi i Norge,Not selected,Not selected,Not selected,Eksportere mindre kraft til utlandet,Not selected,Not selected,Not selected,Not selected,,Nei,1 Svært negativ,Nei,"Færre, store anlegg med mange turbiner for hvert anlegg",7 Svært bekymret,2-12 dager,Nei,Nei,60000,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_5,Q17_6,Not selected,Not selected,Q17_9,Not selected,Not selected,Not selected,Q17_13,Not selected,Not selected,Q17_16,Q17_17,Not selected,Q17_19,Not selected,Not selected,Not selected,Q17_23,Not selected,,,,,Ingen utbygging,Ingen utbygging,,,Ingen utbygging,,,,Ingen utbygging,,,Ingen utbygging,Ingen utbygging,,Ingen utbygging,,,,Ingen utbygging,,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_5,Q17_6,Not selected,Not selected,Q17_9,Not selected,Not selected,Not selected,Q17_13,Not selected,Not selected,Q17_16,Q17_17,Not selected,Q17_19,Not selected,Not selected,Not selected,Q17_23,Not selected,6,6,7 Svært viktig,7 Svært viktig,7 Svært viktig,4,2,Å forsyne Europe med fornybar energi fra Norge skal ikke gå på bekostning av norsk natur,,,,Jeg ville vært mer positiv hvis anlegget ble bygget i en helt annen del av landet,0% vind 100% sol,,0% vind 100% sol,7 Svært viktig,"Ja, vi må ikke redusere disse arealene",7 Generell stor negativ innvirkning,5,7 Generell stor negativ innvirkning,5,4 Nøytral,6,7 Generell stor negativ innvirkning,5,4 Nøytral,4 Nøytral,5,4 Nøytral,Jeg er imot utbygging uansett,,Jeg er imot utbygging uansett,,Ja,Nei,,5-årig universitetsutdanning (mastergrad/profesjonsutdanning),"Ja, vi bor i nærheten av arealer der det er eller kan bli aktuelt å bygge kraftverk",1 200 001 – 1 400 000 kr,,Ganske sikker,,"Nei, ingen ekstra kommentarer",,,,
2811,05/15/2025 12:33,Qualified,412.882,05/15/2025 12:25,28,Kvinne,2316,Innlandet,Hamar,Østlandet,Less than 30,18-29,Not selected,Not selected,Arbeidsplasser og økonomisk omstilling,Not selected,Not selected,Not selected,Politi & forsvar,Not selected,Not selected,Not selected,,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Vet ikke,,Nei,4 Nøytral,Nei,Vet ikke,5,Ikke i det hele tatt,Nei,Nei,6800,Not selected,Not selected,Not selected,Q17_3,Not selected,Not selected,Not selected,Q17_7,Q17_8,Not selected,Not selected,Q17_11,Not selected,Not selected,Q17_14,Not selected,Not selected,Not selected,Q17_18,Not selected,Not selected,Q17_21,Not selected,Not selected,Q17_24,,,Ingen utbygging,,,,Ingen utbygging,Ingen utbygging,,,Ingen utbygging,,,Ingen utbygging,,,,Ingen utbygging,,,Utbygging,,,Utbygging,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_21,Not selected,Not selected,Q17_24,Not selected,Not selected,Q17_3,Not selected,Not selected,Not selected,Q17_7,Q17_8,Not selected,Not selected,Q17_11,Not selected,Not selected,Q17_14,Not selected,Not selected,Not selected,Q17_18,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,4,3,5,5,5,5,7 Svært vanskelig,,,,,Jeg er usikker,,40% vind 60% sol,40% vind 60% sol,5,Vet ikke,5,4 Nøytral,4 Nøytral,5,4 Nøytral,5,4 Nøytral,4 Nøytral,4 Nøytral,5,4 Nøytral,5,Vet ikke,,Vet ikke,,Nei,Nei,,3-4-årig universitetsutdanning (bachelor/cand.mag.),Nei,400 001 – 600 000 kr,,Veldig usikker,,"Nei, ingen ekstra kommentarer",,,,
2778,05/15/2025 10:20,Qualified,1199.766,05/15/2025 09:59,37,Mann,2260,Innlandet,Grue,Østlandet,30-39,30-39,Not selected,Not selected,Not selected,Not selected,Not selected,Samferdsel & annen infrastruktur,Not selected,Not selected,Not selected,"Annet, vennligst spesifiser","Barn,",Not selected,Not selected,Not selected,Not selected,Not selected,Produsere mer fra solenergi i Norge,Not selected,Not selected,Not selected,Eksportere mindre kraft til utlandet,Not selected,Atomkraftverk,Not selected,Not selected,,Nei,1 Svært negativ,Ja,"Færre, store anlegg med mange turbiner for hvert anlegg",7 Svært bekymret,2-12 dager,Nei,Nei,15000,Not selected,Not selected,Not selected,Not selected,Q17_4,Not selected,Q17_6,Q17_7,Not selected,Not selected,Q17_10,Q17_11,Not selected,Not selected,Q17_14,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_21,Not selected,Not selected,Q17_24,,,,Ingen utbygging,,Ingen utbygging,Ingen utbygging,,,Ingen utbygging,Ingen utbygging,,,Ingen utbygging,,,,,,,Ingen utbygging,,,Ingen utbygging,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_4,Not selected,Q17_6,Q17_7,Not selected,Not selected,Q17_10,Q17_11,Not selected,Not selected,Q17_14,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_21,Not selected,Not selected,Q17_24,1 Ikke viktig i det hele tatt,1 Ikke viktig i det hele tatt,1 Ikke viktig i det hele tatt,7 Svært viktig,7 Svært viktig,1 Ikke viktig i det hele tatt,1 Svært lett,"Andre årsaker, vennligst spesifiser:","Veien til mer strøm er atomkraft, ikke vindkraft.",,,"Jeg støtter ikke vindkraftutbygging, uansett lokasjon",,0% vind 100% sol,0% vind 100% sol,6,"Ja, men på grunn av samfunnsutvikling må en akseptere noe reduksjon",7 Generell stor negativ innvirkning,2,4 Nøytral,5,5,4 Nøytral,4 Nøytral,4 Nøytral,4 Nøytral,5,4 Nøytral,4 Nøytral,Jeg er imot utbygging uansett,,Jeg er imot utbygging uansett,,Nei,Nei,,Fagbrev,Nei,800 001 – 1 000 000 kr,,Veldig usikker,,"Nei, ingen ekstra kommentarer",,,,
2712,05/14/2025 18:34,Qualified,560.067,05/14/2025 18:24,26,Kvinne,2900,Innlandet,Nord-Aurdal,Østlandet,Less than 30,18-29,Vern av natur & biologisk mangfold,Not selected,Not selected,Not selected,Utdanning & forsking,Not selected,Not selected,Not selected,Not selected,Not selected,,Not selected,Not selected,"Bygge ut nye, småskala vannkraftanlegg i småelver i Norge",Not selected,Not selected,Produsere mer fra solenergi i Norge,Not selected,Not selected,Not selected,Eksportere mindre kraft til utlandet,Not selected,Not selected,Not selected,Not selected,,Nei,1 Svært negativ,Nei,"Færre, store anlegg med mange turbiner for hvert anlegg",7 Svært bekymret,Ikke i det hele tatt,Nei,Nei,,Vet ikke,Q17_1,Q17_2,Q17_3,Not selected,Not selected,Not selected,Not selected,Q17_8,Q17_9,Not selected,Not selected,Not selected,Q17_13,Not selected,Not selected,Not selected,Q17_17,Not selected,Not selected,Q17_20,Not selected,Not selected,Not selected,Not selected,Utbygging,Ingen utbygging,Ingen utbygging,,,,,Ingen utbygging,Ingen utbygging,,,,Ingen utbygging,,,,Ingen utbygging,,,Ingen utbygging,,,,,Q17_1,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_2,Q17_3,Not selected,Not selected,Not selected,Not selected,Q17_8,Q17_9,Not selected,Not selected,Not selected,Q17_13,Not selected,Not selected,Not selected,Q17_17,Not selected,Not selected,Q17_20,Not selected,Not selected,Not selected,Not selected,4,3,7 Svært viktig,7 Svært viktig,7 Svært viktig,7 Svært viktig,4,,,,,Min holdning ville vært den samme uansett hvor anlegget bygges,0% vind 100% sol,,0% vind 100% sol,7 Svært viktig,"Ja, vi må ikke redusere disse arealene",6,4 Nøytral,3,6,7 Generell stor negativ innvirkning,5,4 Nøytral,5,5,7 Generell stor negativ innvirkning,6,7 Generell stor negativ innvirkning,Mer enn 150 000 kr,200000,100 000 kr,,Nei,Nei,,5-årig universitetsutdanning (mastergrad/profesjonsutdanning),Nei,600 001 – 800 000 kr,,Ganske sikker,,"Nei, ingen ekstra kommentarer",,,,
2682,05/14/2025 13:42,Qualified,869.164,05/14/2025 13:25,41,Kvinne,2414,Innlandet,Elverum,Østlandet,40-49,40-49,Not selected,Not selected,Not selected,Helse & eldreomsorg,Utdanning & forsking,Not selected,Not selected,Not selected,Not selected,Not selected,,Not selected,Not selected,Not selected,Not selected,Not selected,Produsere mer fra solenergi i Norge,Not selected,Not selected,Not selected,Eksportere mindre kraft til utlandet,Not selected,Not selected,Not selected,Not selected,,Nei,4 Nøytral,Nei,"Færre, store anlegg med mange turbiner for hvert anlegg",5,2-12 dager,Nei,Nei,29000,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_5,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_12,Not selected,Not selected,Q17_15,Q17_16,Not selected,Q17_18,Q17_19,Not selected,Not selected,Q17_22,Q17_23,Not selected,,,,,Ingen utbygging,,,,,,,Ingen utbygging,,,Utbygging,Utbygging,,Ingen utbygging,Utbygging,,,Ingen utbygging,Utbygging,,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_15,Q17_16,Not selected,Not selected,Q17_19,Not selected,Not selected,Not selected,Q17_23,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_5,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_12,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_18,Not selected,Not selected,Not selected,Q17_22,Not selected,Not selected,4,3,5,4,2,6,5,,,,,Jeg er usikker,,80% vind 20% sol,80% vind 20% sol,5,"Ja, men på grunn av samfunnsutvikling må en akseptere noe reduksjon",4 Nøytral,5,4 Nøytral,5,4 Nøytral,6,4 Nøytral,4 Nøytral,5,5,4 Nøytral,4 Nøytral,Vet ikke,,Vet ikke,,Nei,Nei,,Fagbrev,Nei,800 001 – 1 000 000 kr,,Ganske usikker,,"Nei, ingen ekstra kommentarer",,,,
2681,05/14/2025 11:29,Qualified,300.61,05/14/2025 11:23,26,Kvinne,2100,Innlandet,Sør-Odal,Østlandet,Less than 30,18-29,Not selected,Not selected,Not selected,Helse & eldreomsorg,Not selected,Not selected,Not selected,Not selected,Idrett & kultur,Not selected,,Not selected,Not selected,Not selected,Not selected,Not selected,Produsere mer fra solenergi i Norge,Not selected,Varmekraft,Not selected,Eksportere mindre kraft til utlandet,Not selected,Not selected,Not selected,Not selected,,Nei,6,Nei,"Færre, store anlegg med mange turbiner for hvert anlegg",4 Nøytral,25 dager eller mer,Nei,Nei,12000,Not selected,Q17_1,Not selected,Not selected,Not selected,Not selected,Q17_6,Not selected,Not selected,Not selected,Not selected,Q17_11,Not selected,Q17_13,Not selected,Not selected,Q17_16,Not selected,Q17_18,Q17_19,Q17_20,Not selected,Not selected,Not selected,Not selected,Utbygging,,,,,Utbygging,,,,,Utbygging,,Utbygging,,,Utbygging,,Utbygging,Utbygging,Utbygging,,,,,Q17_1,Not selected,Not selected,Not selected,Not selected,Q17_6,Not selected,Not selected,Not selected,Not selected,Q17_11,Not selected,Q17_13,Not selected,Not selected,Q17_16,Not selected,Q17_18,Q17_19,Q17_20,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,6,7 Svært viktig,4,6,1 Ikke viktig i det hele tatt,7 Svært viktig,2,,,Det burde bygges mer landbasert vindkraft i Norge,,Jeg ville vært mer negativ hvis anlegget ble bygget i en nabokommune,,60% vind 40% sol,60% vind 40% sol,2,"Ja, men på grunn av samfunnsutvikling må en akseptere noe reduksjon",4 Nøytral,4 Nøytral,4 Nøytral,4 Nøytral,4 Nøytral,4 Nøytral,4 Nøytral,4 Nøytral,4 Nøytral,4 Nøytral,4 Nøytral,4 Nøytral,10 000 kr,,10 000 kr,,Nei,Nei,,3-4-årig universitetsutdanning (bachelor/cand.mag.),Nei,1 000 001 – 1 200 000 kr,,Veldig usikker,,"Nei, ingen ekstra kommentarer",,,,
2680,05/14/2025 11:20,Qualified,501.385,05/14/2025 11:07,41,Mann,2636,Innlandet,Øyer,Østlandet,40-49,40-49,Not selected,Not selected,Not selected,Helse & eldreomsorg,Not selected,Not selected,Politi & forsvar,Not selected,Not selected,Not selected,,Not selected,Not selected,"Bygge ut nye, småskala vannkraftanlegg i småelver i Norge",Not selected,Utvide/oppgradere større vannkraftanlegg i Norge,Not selected,Not selected,Not selected,Not selected,Eksportere mindre kraft til utlandet,Not selected,Not selected,Not selected,Not selected,,Nei,3,Nei,"Færre, store anlegg med mange turbiner for hvert anlegg",7 Svært bekymret,Ikke i det hele tatt,Nei,Nei,24000,Not selected,Not selected,Not selected,Not selected,Q17_4,Not selected,Not selected,Not selected,Q17_8,Q17_9,Not selected,Not selected,Not selected,Not selected,Q17_14,Q17_15,Not selected,Q17_17,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_23,Q17_24,,,,Utbygging,,,,Utbygging,Ingen utbygging,,,,,Ingen utbygging,Utbygging,,Ingen utbygging,,,,,,Utbygging,Ingen utbygging,Not selected,Not selected,Not selected,Q17_4,Not selected,Not selected,Not selected,Q17_8,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_15,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_23,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_9,Not selected,Not selected,Not selected,Not selected,Q17_14,Not selected,Not selected,Q17_17,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_24,7 Svært viktig,7 Svært viktig,7 Svært viktig,7 Svært viktig,4,7 Svært viktig,2,,,,,Min holdning ville vært den samme uansett hvor anlegget bygges,,40% vind 60% sol,40% vind 60% sol,7 Svært viktig,"Ja, men på grunn av samfunnsutvikling må en akseptere noe reduksjon",6,6,3,3,4 Nøytral,3,1 Generell liten negativ innvirkning,1 Generell liten negativ innvirkning,1 Generell liten negativ innvirkning,1 Generell liten negativ innvirkning,1 Generell liten negativ innvirkning,3,10 000 kr,,5000 kr,,Nei,Nei,,Fagbrev,Nei,800 001 – 1 000 000 kr,,Ganske usikker,,"Nei, ingen ekstra kommentarer",,,,
2679,05/14/2025 11:10,Qualified,738.212,05/14/2025 10:57,37,Mann,2390,Innlandet,Ringsaker,Østlandet,30-39,30-39,Not selected,Not selected,Arbeidsplasser og økonomisk omstilling,Not selected,Not selected,Not selected,Politi & forsvar,Not selected,Not selected,Not selected,,Not selected,Bygge ut mer landbasert vindkraft i Norge,Not selected,Not selected,Not selected,Produsere mer fra solenergi i Norge,Not selected,Not selected,Not selected,Not selected,Bygge vindkraftverk til havs,Not selected,Not selected,Not selected,,Nei,4 Nøytral,Nei,"Færre, store anlegg med mange turbiner for hvert anlegg",4 Nøytral,Ikke i det hele tatt,Nei,Nei,5500,Not selected,Not selected,Q17_2,Q17_3,Not selected,Q17_5,Not selected,Q17_7,Not selected,Not selected,Q17_10,Not selected,Q17_12,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_21,Q17_22,Not selected,Not selected,,Utbygging,Ingen utbygging,,Ingen utbygging,,Ingen utbygging,,,Utbygging,,Utbygging,,,,,,,,,Ingen utbygging,Utbygging,,,Not selected,Q17_2,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_10,Not selected,Q17_12,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_22,Not selected,Not selected,Not selected,Not selected,Q17_3,Not selected,Q17_5,Not selected,Q17_7,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_21,Not selected,Not selected,Not selected,4,7 Svært viktig,4,6,5,5,3,,,,,Min holdning ville vært den samme uansett hvor anlegget bygges,,60% vind 40% sol,60% vind 40% sol,3,"Ja, men på grunn av samfunnsutvikling må en akseptere noe reduksjon",5,3,3,3,4 Nøytral,4 Nøytral,2,2,5,5,4 Nøytral,4 Nøytral,7000 kr,,3000 kr,,Nei,Nei,,Videregående skole/gymnas,Nei,400 001 – 600 000 kr,,Ganske usikker,,"Nei, ingen ekstra kommentarer",,,,
2648,05/14/2025 09:40,Qualified,1053.858,05/14/2025 09:22,60,Kvinne,2213,Innlandet,Kongsvinger,Østlandet,50-99,60+,Not selected,Not selected,Not selected,Helse & eldreomsorg,Utdanning & forsking,Not selected,Not selected,Not selected,Not selected,Not selected,,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Eksportere mindre kraft til utlandet,Not selected,Atomkraftverk,Not selected,Not selected,,Nei,6,Nei,"Færre, store anlegg med mange turbiner for hvert anlegg",5,Én gang (1 dag),Nei,Ja,40000,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_5,Not selected,Q17_7,Not selected,Not selected,Q17_10,Not selected,Not selected,Q17_13,Not selected,Not selected,Q17_16,Not selected,Q17_18,Q17_19,Not selected,Not selected,Q17_22,Not selected,Not selected,,,,,Utbygging,,Utbygging,,,Utbygging,,,Utbygging,,,Utbygging,,Utbygging,Utbygging,,,Utbygging,,,Not selected,Not selected,Not selected,Not selected,Q17_5,Not selected,Q17_7,Not selected,Not selected,Q17_10,Not selected,Not selected,Q17_13,Not selected,Not selected,Q17_16,Not selected,Q17_18,Q17_19,Not selected,Not selected,Q17_22,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,5,4,5,4,2,4,3,,,Vi må øke strømproduksjonen i Norge for egen sikkerhet,,Min holdning ville vært den samme uansett hvor anlegget bygges,,60% vind 40% sol,60% vind 40% sol,7 Svært viktig,"Ja, men på grunn av samfunnsutvikling må en akseptere noe reduksjon",4 Nøytral,4 Nøytral,6,4 Nøytral,4 Nøytral,1 Generell liten negativ innvirkning,2,2,2,4 Nøytral,4 Nøytral,4 Nøytral,Jeg er for utbygging uansett,,Jeg er for utbygging uansett,,Nei,Ja,,5-årig universitetsutdanning (mastergrad/profesjonsutdanning),Nei,800 001 – 1 000 000 kr,,Veldig usikker,,"Nei, ingen ekstra kommentarer",,,,
2647,05/14/2025 08:35,Qualified,361.222,05/14/2025 08:19,36,Kvinne,2630,Innlandet,Ringebu,Østlandet,30-39,30-39,Not selected,Not selected,Not selected,Helse & eldreomsorg,Utdanning & forsking,Not selected,Not selected,Not selected,Not selected,Not selected,,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Eksportere mindre kraft til utlandet,Not selected,Not selected,Not selected,Not selected,,Nei,3,Nei,Vet ikke,4 Nøytral,Ikke i det hele tatt,Nei,Nei,,Vet ikke,Not selected,Q17_2,Q17_3,Not selected,Not selected,Q17_6,Not selected,Q17_8,Q17_9,Not selected,Q17_11,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_17,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_23,Not selected,,Ingen utbygging,Ingen utbygging,,,Ingen utbygging,,Ingen utbygging,Ingen utbygging,,Ingen utbygging,,,,,,Utbygging,,,,,,Ingen utbygging,,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_17,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_2,Q17_3,Not selected,Not selected,Q17_6,Not selected,Q17_8,Q17_9,Not selected,Q17_11,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Q17_23,Not selected,5,3,4,3,4,4,7 Svært vanskelig,,,,,Jeg er usikker,,40% vind 60% sol,40% vind 60% sol,4,Vet ikke,4 Nøytral,4 Nøytral,4 Nøytral,4 Nøytral,4 Nøytral,4 Nøytral,4 Nøytral,4 Nøytral,4 Nøytral,4 Nøytral,4 Nøytral,4 Nøytral,Vet ikke,,Vet ikke,,Nei,Nei,,Videregående skole/gymnas,Vet ikke,Vet ikke,,Ganske usikker,,"Nei, ingen ekstra kommentarer",,,,
